sha,date,kind,parents,prs,capabilities,inMain,inDev,title,attribution,url
3d4ce70fa50bd3aa05128bfbf5d659071ab07719,2026-09-18T15:28:09+08:00,merge,9c2299a2b94da7ac9c903c340a7641e90345b92e 992fe266a84bf9571dd664255a1eeb5aa95da230,347,"C09,C10,C11,C22,C24",False,True,Merge pull request #347 from CtriXin/codex/stride-7b37a8aff257410b-t9a-dev-sync,新增 merge 引入范围；具体行为证据见 E11/E12/E22,https://github.com/CtriXin/multi-model-switch/commit/3d4ce70fa50bd3aa05128bfbf5d659071ab07719
56b6685543eb055baace4eeed00676bca3c82e32,2026-09-18T15:28:04+08:00,merge,7bf05071de64c05b970db07bcd7dfa615fca56c1 b12ac82c378af70626a2e6d1530113672dac75ce,337,"C10,C24",True,False,Merge pull request #337 from CtriXin/claude/docs-ai-onboarding,新增 merge 引入范围；具体行为证据见 E11/E12/E22,https://github.com/CtriXin/multi-model-switch/commit/56b6685543eb055baace4eeed00676bca3c82e32
7bf05071de64c05b970db07bcd7dfa615fca56c1,2026-09-18T15:28:00+08:00,merge,b399447a3565ef5ef1ca49ff98a6c59d444b9d4c 703c8bb29c1ee23279fdcb9b421880f207220857,343,C24,True,False,Merge pull request #343 from CtriXin/docs/readme-comprehensive-revamp,新增 merge 引入范围；具体行为证据见 E11/E12/E22,https://github.com/CtriXin/multi-model-switch/commit/7bf05071de64c05b970db07bcd7dfa615fca56c1
b399447a3565ef5ef1ca49ff98a6c59d444b9d4c,2026-09-18T15:27:54+08:00,merge,02da9482c26420f9fdbb5074803efc44b0475965 5994f4c42112cdfa91993670e5156724dea93581,344,"C09,C10,C11,C22,C24",True,False,Merge pull request #344 from CtriXin/codex/stride-b8db1890612c40ba,新增 merge 引入范围；具体行为证据见 E11/E12/E22,https://github.com/CtriXin/multi-model-switch/commit/b399447a3565ef5ef1ca49ff98a6c59d444b9d4c
b12ac82c378af70626a2e6d1530113672dac75ce,2026-09-18T15:15:06+08:00,merge,4b8c59f4ee614e4074d4430941536a954d906f5f 703c8bb29c1ee23279fdcb9b421880f207220857,337,"C10,C24",True,False,Merge Chinese README readiness boundary correction,新增 merge 引入范围；具体行为证据见 E11/E12/E22,https://github.com/CtriXin/multi-model-switch/commit/b12ac82c378af70626a2e6d1530113672dac75ce
703c8bb29c1ee23279fdcb9b421880f207220857,2026-09-18T15:15:05+08:00,PR-child,d79ca6d592a52d1b15be4eb55897954ad0a7511b,343,C24,True,False,docs: preserve readiness contract in the Chinese README mirror,新增 merge 引入范围；具体行为证据见 E11/E12/E22,https://github.com/CtriXin/multi-model-switch/commit/703c8bb29c1ee23279fdcb9b421880f207220857
992fe266a84bf9571dd664255a1eeb5aa95da230,2026-09-18T15:08:04+08:00,PR-child,86c7590d71a36ad12a0dd8338854b19a7e0fd67c,347,"C09,C10,C11,C22,C24",False,True,fix(preview): keep reinstall guidance on the Preview channel,新增 merge 引入范围；具体行为证据见 E11/E12/E22,https://github.com/CtriXin/multi-model-switch/commit/992fe266a84bf9571dd664255a1eeb5aa95da230
86c7590d71a36ad12a0dd8338854b19a7e0fd67c,2026-09-18T15:00:08+08:00,PR-child,75141328fa367a840bcb0bfa309449f4ae0f6946,347,"C09,C10,C11,C22,C24",False,True,fix(preview): include Grok modules in the installed lib runtime,新增 merge 引入范围；具体行为证据见 E11/E12/E22,https://github.com/CtriXin/multi-model-switch/commit/86c7590d71a36ad12a0dd8338854b19a7e0fd67c
75141328fa367a840bcb0bfa309449f4ae0f6946,2026-09-18T14:55:39+08:00,PR-child,9125d628d3d8b61a5fcf70f0e0958154161c1097,347,"C09,C10,C11,C22,C24",False,True,fix(preview): synchronize T9a layout and safe update boundaries,新增 merge 引入范围；具体行为证据见 E11/E12/E22,https://github.com/CtriXin/multi-model-switch/commit/75141328fa367a840bcb0bfa309449f4ae0f6946
4b8c59f4ee614e4074d4430941536a954d906f5f,2026-09-18T14:53:26+08:00,merge,e74b754741bbd22e8a0d23c53d31a0210001314c d79ca6d592a52d1b15be4eb55897954ad0a7511b,337,"C10,C24",True,False,Merge validated README navigation links,新增 merge 引入范围；具体行为证据见 E11/E12/E22,https://github.com/CtriXin/multi-model-switch/commit/4b8c59f4ee614e4074d4430941536a954d906f5f
